SLA
Urgent 2 Hr (Cut-off 15:30)
Urgent 2:40 Hr (Cut-off 15:30) Charge rate same as 2 Hr
Urgent 4 Hr (Cut-off 13:30)
SBD (Cut-off 11:00)
NBD12 (Cut-off 16:00)
NBD17 (Cut-off 16:00)
Express
