Terminal Code,Customer site.,Address,Postcode 
T091B030B555G262,ธนาคารออมสิน,สาขาชนแดน(G1)     1101 หมู่ที่ 12 ถ.ชมฐีระเวช ต.ชนแดน อ.ชนแดน จ.เพชรบูรณ์ 67150,67150
T091B030B208G262,ธนาคารออมสิน,สาขาซับสมอทอด(G1)  128-129 หมู่ที่ 4 ถ.สระบุรี-หล่มสัก ต.ซับสมอทอด อ.บึงสามพัน จ.เพชรบูรณ์ 67160,67160
T019B030BE41G262,ธนาคารออมสิน,7-Eleven สาขา ถนนบ้านช้าง (6777) 4/6 – 7 ถ.หน้าสนามบิน (ฝั่งตะวันออก) ต.หมากแข้ง อ.เมือง จ.อุดรธานี 41000,41000
T091B030B958G262,ธนาคารออมสิน,สาขาสังคม(G1)  218 หมู่ที่ 3 ต.แก้งไก่ อ.สังคม จ.หนองคาย 43160,43160
T036B030BE46G262,ธนาคารออมสิน,ร้านขายยาและจำหน่ายอุปกรณ์การเกษตรและน้ำมัน      54 ม.5 ต.โพน อ.คำม่วง จ.กาฬสินธุ์,46180
T091B030B534G262,ธนาคารออมสิน,สาขาคำเขื่อนแก้ว(G1)     110/1 หมู่ที่ 2 ถ.เหลี่ยมประดิษฐ์ ต.ลุมพุก อ.คำเขื่อนแก้ว จ. ยโสธร 35110,35110
T046B030BE76G262,ธนาคารออมสิน,7-Eleven สาขามหาวิทยาลัยศิลปากร เพชรบุรี (5850)    มหาวิทยาลัยศิลปากร วิทยาสารสนเทศเพชรบุรี 1 หมู่ 3 ต.สามพระยา อ.ชะอำ จ.เพชรบุรี 76120,76120
T091B030B726G262,ธนาคารออมสิน,สาขาเกาะพะงัน(G1) 50/10-11 หมู่ที่1 ต.เกาะพะงัน อ.เกาะพะงัน จ.สุราษฎร์ธานี 84280,84280
T092B030B652G262,ธนาคารออมสิน,สาขาบ่อผุด(G2)   119/41 หมู่ที่1 ถ.รอบเกาะ ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320,84320
T091B030B714G262,ธนาคารออมสิน,"สาขาเซ็นทรัลเฟสติวัล สมุย(G1)   ชั้น 2 ห้องเลขที่ 237 โครงการศูนย์การค้าเซ็นทรัลเฟสติวัล สมุย  เลขที่ 209, 209/1-2 หมู่ที่ 2 ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320",84320
